city,temperature,humidity,weather,timestamp
London,12.04,91,overcast clouds,2024-11-30 09:55:40
London,12.04,91,overcast clouds,2024-11-30 09:55:46
London,12.04,91,overcast clouds,2024-11-30 09:56:15
London,12.04,91,overcast clouds,2024-11-30 10:00:05
